listing_year,state,year,vehicle_type,avg_price,n_listings,dep_annual_rate,n_make_model_year
2020,CO,2019,cuv,33268.34577456689,7176,0.08625798461613687,2709
2020,CO,2019,car,26606.479707540715,6636,0.08625798461613687,2709
2020,CO,2019,minivan,26394.77120385764,825,0.08625798461613687,2709
2020,CO,2019,pickup,48833.47943605533,5285,0.08625798461613687,2709
2020,CO,2019,suv,47516.44822426645,4281,0.08625798461613687,2709
2020,CO,2020,cuv,42100.45677961014,2285,0.08625798461613687,2709
2020,CO,2020,car,32440.8090669241,1259,0.08625798461613687,2709
2020,CO,2020,minivan,39679.34682494818,73,0.08625798461613687,2709
2020,CO,2020,pickup,59846.91164033879,858,0.08625798461613687,2709
2020,CO,2020,suv,57934.55902675749,839,0.08625798461613687,2709
2020,CO,2021,cuv,46275.942771123264,58,0.08625798461613687,2709
2020,CO,2021,suv,74289.82331067245,8,0.08625798461613687,2709
2020,CO,2021,car,54604.44488756292,8,0.08625798461613687,2709
2020,CO,2021,pickup,54485.78782380347,28,0.08625798461613687,2709
2020,CO,2021,minivan,54304.4565939999,1,0.08625798461613687,2709
2020,CT,2006,car,6784.722852990345,192,0.10202637946429116,2559
2020,CT,2006,minivan,5301.774413313443,27,0.10202637946429116,2559
2020,CT,2006,cuv,6968.107360868618,97,0.10202637946429116,2559
2020,CT,2006,pickup,11701.08281684977,122,0.10202637946429116,2559
2020,CT,2006,suv,9152.301151301815,57,0.10202637946429116,2559
2020,CT,2007,car,7995.909387012023,607,0.10202637946429116,2559
2020,CT,2007,cuv,8571.551898376249,344,0.10202637946429116,2559
2020,CT,2007,minivan,6778.066898572092,59,0.10202637946429116,2559
2020,CT,2007,pickup,13216.376505461061,233,0.10202637946429116,2559
2020,CT,2007,suv,11913.367179662248,232,0.10202637946429116,2559
2020,CT,2008,car,8443.095909515152,760,0.10202637946429116,2559
2020,CT,2008,cuv,9359.05131034294,494,0.10202637946429116,2559
2020,CT,2008,minivan,7488.943434363556,77,0.10202637946429116,2559
2020,CT,2008,pickup,15683.08244928129,378,0.10202637946429116,2559
2020,CT,2008,suv,13475.095019116952,306,0.10202637946429116,2559
2020,CT,2009,car,8810.950486706835,881,0.10202637946429116,2559
2020,CT,2009,cuv,9856.233275300456,548,0.10202637946429116,2559
2020,CT,2009,minivan,7666.865025166534,61,0.10202637946429116,2559
2020,CT,2009,pickup,16862.050447711357,242,0.10202637946429116,2559
2020,CT,2009,suv,14696.770878019366,158,0.10202637946429116,2559
2020,CT,2010,car,9889.755932456887,1267,0.10202637946429116,2559
2020,CT,2010,cuv,11453.658506530584,899,0.10202637946429116,2559
2020,CT,2010,minivan,9140.275260351273,114,0.10202637946429116,2559
2020,CT,2010,pickup,18604.9607030549,380,0.10202637946429116,2559
2020,CT,2010,suv,16513.20002345783,279,0.10202637946429116,2559
2020,CT,2011,car,11220.676684491636,1647,0.10202637946429116,2559
2020,CT,2011,cuv,12617.36375754157,1270,0.10202637946429116,2559
2020,CT,2011,minivan,12703.901924429647,112,0.10202637946429116,2559
2020,CT,2011,pickup,21280.698762499247,522,0.10202637946429116,2559
2020,CT,2011,suv,18458.194314398344,462,0.10202637946429116,2559
2020,CT,2012,car,11466.308424356066,2192,0.10202637946429116,2559
