year,state,powertrain,count
2016,Utah,Flex Fuel (E85),172900
2016,Utah,Fuel Cell,0
2016,Utah,Gasoline,2072100
2016,Utah,Hybrid Electric (HEV),32700
2016,Utah,Methanol,0
2016,Utah,Plug-In Hybrid Electric (PHEV),1700
2016,Utah,Propane,0
2016,Utah,Unknown,38700
2016,Vermont,Battery Electric (BEV),300
2016,Vermont,Biodiesel,0
2016,Vermont,Compressed Natural Gas (CNG),800
2016,Vermont,Diesel,20200
2016,Vermont,Flex Fuel (E85),49300
2016,Vermont,Fuel Cell,0
2016,Vermont,Gasoline,521600
2016,Vermont,Hybrid Electric (HEV),11600
2016,Vermont,Methanol,0
2016,Vermont,Plug-In Hybrid Electric (PHEV),1200
2016,Vermont,Propane,0
2016,Vermont,Unknown,8400
2016,Virginia,Battery Electric (BEV),3100
2016,Virginia,Biodiesel,0
2016,Virginia,Compressed Natural Gas (CNG),17900
2016,Virginia,Diesel,168900
2016,Virginia,Flex Fuel (E85),463300
2016,Virginia,Fuel Cell,0
2016,Virginia,Gasoline,6554200
2016,Virginia,Hybrid Electric (HEV),126700
2016,Virginia,Methanol,0
2016,Virginia,Plug-In Hybrid Electric (PHEV),4200
2016,Virginia,Propane,0
2016,Virginia,Unknown,64900
2016,Washington,Battery Electric (BEV),14900
2016,Washington,Biodiesel,0
2016,Washington,Compressed Natural Gas (CNG),24400
2016,Washington,Diesel,272100
2016,Washington,Flex Fuel (E85),304100
2016,Washington,Fuel Cell,0
2016,Washington,Gasoline,5329200
2016,Washington,Hybrid Electric (HEV),143400
2016,Washington,Methanol,0
2016,Washington,Plug-In Hybrid Electric (PHEV),6400
2016,Washington,Propane,0
2016,Washington,Unknown,133900
2016,West Virginia,Battery Electric (BEV),100
2016,West Virginia,Biodiesel,0
2016,West Virginia,Compressed Natural Gas (CNG),4400
2016,West Virginia,Diesel,52000
2016,West Virginia,Flex Fuel (E85),150300
2016,West Virginia,Fuel Cell,0
2016,West Virginia,Gasoline,1286500
2016,West Virginia,Hybrid Electric (HEV),9200
2016,West Virginia,Methanol,0
2016,West Virginia,Plug-In Hybrid Electric (PHEV),300
2016,West Virginia,Propane,0
2016,West Virginia,Unknown,21600
2016,Wisconsin,Battery Electric (BEV),2600
2016,Wisconsin,Biodiesel,0
