listing_year,inventory_type,group_var,group_level,category_var,category_level,p
2022,New,powertrain,Gasoline,vehicle_type,Minivan,0.22084004097760868
2023,New,powertrain,Gasoline,vehicle_type,Minivan,0.23635507417000234
2024,New,powertrain,Gasoline,vehicle_type,Minivan,0.23779342723004696
2023,Used,powertrain,Hybrid Electric (HEV),vehicle_type,Minivan,0.200616560601417
2024,Used,powertrain,Hybrid Electric (HEV),vehicle_type,Minivan,0.21796270040353363
2022,Used,powertrain,Hybrid Electric (HEV),vehicle_type,Minivan,0.16091168313737744
2021,Used,powertrain,Plug-In Hybrid Electric (PHEV),vehicle_type,CUV,0.09568140677527799
2020,Used,powertrain,Plug-In Hybrid Electric (PHEV),vehicle_type,CUV,0.07344965520626273
2019,Used,powertrain,Plug-In Hybrid Electric (PHEV),vehicle_type,CUV,0.057885855481227023
2018,Used,powertrain,Plug-In Hybrid Electric (PHEV),vehicle_type,CUV,0.026062975422008063
2024,New,powertrain,Battery Electric (BEV),vehicle_type,Car,0.18910798122065728
2022,New,powertrain,Battery Electric (BEV),vehicle_type,Car,0.1490804429484365
2023,New,powertrain,Battery Electric (BEV),vehicle_type,Car,0.2243465975983047
2018,New,powertrain,Battery Electric (BEV),vehicle_type,Car,0.14583333333333334
2021,New,powertrain,Battery Electric (BEV),vehicle_type,Car,0.1775072092278116
2019,New,powertrain,Battery Electric (BEV),vehicle_type,Car,0.1398528442784977
2020,New,powertrain,Battery Electric (BEV),vehicle_type,Car,0.1522523007373123
2024,New,powertrain,Battery Electric (BEV),vehicle_type,Minivan,0.025070422535211266
2021,New,powertrain,Gasoline,vehicle_type,Minivan,0.3116522482110435
2020,New,powertrain,Gasoline,vehicle_type,Minivan,0.38157257413486895
2019,New,powertrain,Gasoline,vehicle_type,Minivan,0.3778827146936086
2018,New,powertrain,Gasoline,vehicle_type,Minivan,0.3457236842105263
2022,Used,powertrain,Diesel,vehicle_type,Pickup,0.5013280731221437
2023,Used,powertrain,Diesel,vehicle_type,Pickup,0.49211271160468006
2024,Used,powertrain,Diesel,vehicle_type,Pickup,0.4980913949176573
2021,Used,powertrain,Fuel Cell,vehicle_type,Car,0.002680019747513929
2019,Used,powertrain,Fuel Cell,vehicle_type,Car,0.001597059000783463
2018,Used,powertrain,Fuel Cell,vehicle_type,Car,7.273388489862715e-4
2020,Used,powertrain,Fuel Cell,vehicle_type,Car,0.001840535964072738
2023,Used,powertrain,Fuel Cell,vehicle_type,Car,0.003281111972453082
2024,Used,powertrain,Fuel Cell,vehicle_type,Car,0.0038717417384665723
2022,Used,powertrain,Fuel Cell,vehicle_type,Car,0.0019530487090348033
2019,Used,powertrain,Fuel Cell,vehicle_type,CUV,3.01331886940276e-5
2024,Used,powertrain,Fuel Cell,vehicle_type,CUV,6.54378885374632e-4
2023,Used,powertrain,Fuel Cell,vehicle_type,CUV,0.0014602751086192287
2022,Used,powertrain,Fuel Cell,vehicle_type,CUV,0.001230420686691926
2021,New,powertrain,Fuel Cell,vehicle_type,CUV,5.340168749332479e-5
2018,New,powertrain,Flex Fuel (E85),vehicle_type,Minivan,0.1568530701754386
2020,New,powertrain,Flex Fuel (E85),vehicle_type,Minivan,0.11963834024003014
2019,New,powertrain,Flex Fuel (E85),vehicle_type,Minivan,0.13238524050076872
2021,New,powertrain,Flex Fuel (E85),vehicle_type,Minivan,0.04704688668161914
2018,Used,powertrain,Diesel,vehicle_type,SUV,0.10594902566900022
2021,Used,powertrain,Diesel,vehicle_type,SUV,0.09934880221924443
2020,Used,powertrain,Diesel,vehicle_type,SUV,0.09394095560627255
2019,Used,powertrain,Diesel,vehicle_type,SUV,0.11402398601820045
2022,Used,powertrain,Diesel,vehicle_type,SUV,0.12849107456739972
2023,Used,powertrain,Diesel,vehicle_type,SUV,0.14123203951756838
2024,Used,powertrain,Diesel,vehicle_type,SUV,0.1507070927400298
2021,New,powertrain,Plug-In Hybrid Electric (PHEV),vehicle_type,CUV,0.05099861155612517
2018,New,powertrain,Plug-In Hybrid Electric (PHEV),vehicle_type,CUV,0.056085526315789475
2019,New,powertrain,Plug-In Hybrid Electric (PHEV),vehicle_type,CUV,0.05331649461893257
2020,New,powertrain,Plug-In Hybrid Electric (PHEV),vehicle_type,CUV,0.045046014746246164
2021,New,powertrain,Hybrid Electric (HEV),vehicle_type,SUV,0.1794830716650646
2020,New,powertrain,Hybrid Electric (HEV),vehicle_type,SUV,0.022173187664818902
2018,New,powertrain,Plug-In Hybrid Electric (PHEV),vehicle_type,Car,0.19144736842105264
