age_bin,powertrain,vehicle_type,quantile,miles
52.5,all,minivan,50,44858.399002709164
52.5,all,minivan,75,64441.288544085764
55.5,all,minivan,25,35134.44015369035
55.5,all,minivan,50,50319.6137388052
55.5,all,minivan,75,69448.59340076827
58.5,all,minivan,25,39432.228030039296
58.5,all,minivan,50,56466.296138918675
58.5,all,minivan,75,75357.50441528068
61.5,all,minivan,25,44107.03161412073
61.5,all,minivan,50,61651.36141982584
61.5,all,minivan,75,80494.06870327919
64.5,all,minivan,25,47981.31111799787
64.5,all,minivan,50,65758.50073692575
64.5,all,minivan,75,85124.3312093324
67.5,all,minivan,25,51591.00735135928
67.5,all,minivan,50,69624.06641199996
67.5,all,minivan,75,88830.03990696745
70.5,all,minivan,25,54320.137335072475
70.5,all,minivan,50,72835.67338645141
70.5,all,minivan,75,91987.44540870326
73.5,all,minivan,25,56843.22551723562
73.5,all,minivan,50,75532.3779578737
73.5,all,minivan,75,95263.8237477001
76.5,all,minivan,25,59411.015153680535
76.5,all,minivan,50,78582.26781353507
76.5,all,minivan,75,98164.2545670633
79.5,all,minivan,25,63450.89021041525
79.5,all,minivan,50,82351.57932138335
79.5,all,minivan,75,101577.92125488045
82.5,all,minivan,25,65369.53506027551
82.5,all,minivan,50,84871.237629171
82.5,all,minivan,75,105018.42353807268
85.5,all,minivan,25,67474.99075282557
85.5,all,minivan,50,87094.97768259396
85.5,all,minivan,75,107743.95878200032
88.5,all,minivan,25,69477.1332843793
88.5,all,minivan,50,89402.5594627677
88.5,all,minivan,75,110268.71253377372
91.5,all,minivan,25,72901.77256790263
91.5,all,minivan,50,92596.464259349
91.5,all,minivan,75,113870.23509376954
94.5,all,minivan,25,74470.92307826204
94.5,all,minivan,50,94792.56372904482
94.5,all,minivan,75,116864.43251216055
97.5,all,minivan,25,75424.82238840913
97.5,all,minivan,50,96467.42121587247
97.5,all,minivan,75,119268.41645188612
100.5,all,minivan,25,76916.70350665487
100.5,all,minivan,50,98151.66499497199
100.5,all,minivan,75,121172.48381699949
103.5,all,minivan,25,80274.83844797779
103.5,all,minivan,50,101456.843622487
103.5,all,minivan,75,124986.15521254347
106.5,all,minivan,25,81567.9691835206
106.5,all,minivan,50,103524.30082927318
106.5,all,minivan,75,127277.63480438785
109.5,all,minivan,25,82181.28024893448
109.5,all,minivan,50,105041.73024274489
109.5,all,minivan,75,129644.88032999577
112.5,all,minivan,25,83828.3783367874
112.5,all,minivan,50,107056.55398742406
112.5,all,minivan,75,131724.4179094819
115.5,all,minivan,25,87604.67853966182
115.5,all,minivan,50,110348.73534135016
115.5,all,minivan,75,135824.38809426434
118.5,all,minivan,25,88815.51222601738
118.5,all,minivan,50,112845.3131623701
118.5,all,minivan,75,138177.92033830122
121.5,all,minivan,25,89347.98490572529
121.5,all,minivan,50,113966.26231970913
121.5,all,minivan,75,139781.65876750372
124.5,all,minivan,25,90504.26516709155
124.5,all,minivan,50,115519.40050381297
124.5,all,minivan,75,141630.40921311546
127.5,all,minivan,25,94605.76525979889
127.5,all,minivan,50,119893.85363548387
127.5,all,minivan,75,145803.10868234036
130.5,all,minivan,25,95929.70441000829
130.5,all,minivan,50,121420.2457387759
130.5,all,minivan,75,148185.83128270088
133.5,all,minivan,25,96729.82895290614
133.5,all,minivan,50,122891.51984221912
133.5,all,minivan,75,149512.9828493315
136.5,all,minivan,25,97498.36764579586
136.5,all,minivan,50,123849.27943614285
136.5,all,minivan,75,151328.32142561983
139.5,all,minivan,25,101248.17827985603
139.5,all,minivan,50,127673.0812992961
139.5,all,minivan,75,154562.94546999817
142.5,all,minivan,25,102848.11115349687
142.5,all,minivan,50,129441.93034266266
142.5,all,minivan,75,156654.97432435508
145.5,all,minivan,25,102503.72371047299
145.5,all,minivan,50,129827.08492043633
145.5,all,minivan,75,157156.68124610194
148.5,all,minivan,25,103907.06858269105
148.5,all,minivan,50,131379.18387810577
148.5,all,minivan,75,159495.9911422932
151.5,all,minivan,25,106359.47154284772
151.5,all,minivan,50,134760.98056718294
151.5,all,minivan,75,162752.85594964513
154.5,all,minivan,25,106957.31201852548
154.5,all,minivan,50,135246.11161123068
154.5,all,minivan,75,163315.13806708323
157.5,all,minivan,25,108734.98725595446
157.5,all,minivan,50,137227.96776629236
157.5,all,minivan,75,165888.81190381382
160.5,all,minivan,25,108810.48614758516
160.5,all,minivan,50,137879.4409171748
160.5,all,minivan,75,166576.6977586775
163.5,all,minivan,25,111454.21182649239
163.5,all,minivan,50,140184.26728614917
163.5,all,minivan,75,169041.98562156508
166.5,all,minivan,25,110974.69526021718
166.5,all,minivan,50,140370.0880931518
166.5,all,minivan,75,170194.9663974895
169.5,all,minivan,25,111526.64496156752
169.5,all,minivan,50,142163.96317807023
169.5,all,minivan,75,172132.98778364173
172.5,all,minivan,25,111729.64409078707
172.5,all,minivan,50,142407.94742919368
172.5,all,minivan,75,172109.64299267234
175.5,all,minivan,25,114563.38820576291
175.5,all,minivan,50,144539.1805814847
175.5,all,minivan,75,174483.44580425648
178.5,all,minivan,25,112791.87800286626
178.5,all,minivan,50,144540.15200863132
178.5,all,minivan,75,174433.5338093062
181.5,all,minivan,25,116813.05
